init_joint_angles,x_target,y_target,Theta,iter_count,cost
[-1.2788356   0.75979713  0.48106151],-0.622253967444162,-0.6222539674441617,"[[-4.51353042 -0.53353164 -1.38604138]
 [-1.46478576 -1.34365532  1.34896102]
 [-1.77950515 -0.44129911 -0.91569241]
 [-5.04335374 -0.83676213 -0.39736516]
 [-0.93337362 -0.19881177 -1.12665222]
 [-0.05297568 -0.5230991   0.66199498]
 [-1.60663457 -0.34413692 -0.16019779]
 [-5.58976953 -0.30347333  0.69694757]
 [-2.49746146 -0.85870065 -0.25114362]
 [-0.12307142 -0.18095649 -0.12324928]]",14,0.45996520666532087
[-1.2788356   0.75979713  0.48106151],-1.616533774874506e-16,-0.88,"[[-5.75224396 -3.3961537   1.04631285]
 [ 2.17110442 -0.80619688 -2.25261504]
 [-3.1802694  -1.96063629 -0.5360997 ]
 [-1.89236978  0.74210704 -0.02006736]
 [-1.70088409  1.00860568  0.79788466]
 [-3.795247    0.08980139 -0.78099633]
 [-2.10854474  0.12487764 -1.82201447]
 [ 1.59870979 -0.08593601  0.44851672]
 [-0.49765455 -1.16346239 -0.96156106]
 [ 5.73180032 -0.76197171 -0.83614211]]",38,39.04683859035852
[-1.2788356   0.75979713  0.48106151],0.6222539674441617,-0.622253967444162,"[[-2.650904   -1.65190872 -0.76603091]
 [-2.02305207  0.03970023  0.38441574]
 [-1.51812948 -0.51315436  0.24781989]
 [ 0.79833851 -2.16976752 -0.44214777]
 [-1.99944765  0.83012228  0.01041521]
 [-1.03534    -1.06090581  0.18859408]
 [ 0.44544104  0.33391952 -0.16480791]
 [ 1.59581947 -0.06360044 -0.38705502]
 [-0.0765972  -1.23067658 -0.88597485]
 [ 0.01488409 -0.4937945   0.29929277]]",11,77.85833881763784
[-1.2788356   0.75979713  0.48106151],0.88,-2.1553783664993416e-16,"[[-7.56056848e-01  1.23217652e-03  4.16698265e-01]
 [-1.51661711e-01  5.40321333e-01  1.12345842e-01]
 [-1.05900991e+00 -4.46749164e-01 -2.52322993e-01]
 [-1.67043880e-01 -9.30101319e-01  4.79327260e-01]
 [-9.73530264e-02 -6.26688199e-01 -1.07780933e-01]
 [-3.89453290e-01 -2.17474250e-01  1.07612844e-01]
 [-6.19229511e-01  2.29885591e-01 -1.62054214e-01]
 [-7.23948138e-01 -6.63869950e-01 -2.77091186e-01]
 [-5.60961766e-01 -2.60740393e-01 -1.30090874e-01]
 [-3.66374713e-01  4.89240997e-01  3.33807645e-04]]",11,39.38596861757793
[-1.2788356   0.75979713  0.48106151],1.0,0.0,"[[ 0.87002994 -1.7102706  -1.77981193]
 [-0.97075174 -1.43217341  0.29921048]
 [-0.24648631 -0.0019174   0.76283824]
 [ 0.64749587 -0.99635235  0.17812044]
 [ 0.09616491  0.3276656  -0.03587549]
 [-0.48307396 -1.33188251 -0.09924373]
 [-0.27287572 -0.37320806 -0.01151235]
 [-0.62253694 -0.1360201  -0.29464232]
 [ 0.97309055  0.5483493  -0.15270578]
 [ 0.30049016  0.27084775  0.38034607]]",16,50.40288719619473
[-1.2788356   0.75979713  0.48106151],0.8090169943749475,0.5877852522924731,"[[ 1.51655960e+00 -5.76664961e+00 -2.35674872e+00]
 [ 2.48322126e+00 -1.84299430e+00 -5.17441120e+00]
 [ 1.48998725e+00 -1.74748577e+00 -1.86146365e+00]
 [ 1.05026430e+00 -1.20475512e+00  9.02385094e-01]
 [ 1.24334224e+00  3.60413697e-01  9.09790522e-01]
 [ 4.43661655e-03 -2.03815332e-01  8.16298297e-01]
 [ 6.68868911e-02 -4.68881374e-01 -1.86048696e+00]
 [-4.54856208e-01  9.36766071e-01  3.66617955e-01]
 [-1.49237105e+00  1.03809056e-01  2.13166908e+00]
 [-5.46072901e-01  4.83483958e-01 -4.99464678e-01]]",69,2.341354326014839
[-1.2788356   0.75979713  0.48106151],0.30901699437494745,0.9510565162951535,"[[ 0.57774065 -0.34162157 -1.63362674]
 [ 0.84326301 -1.52745737 -1.60495811]
 [ 0.37282351 -1.51503709  1.02586052]
 [ 0.60985086 -1.46511568  0.85434119]
 [ 0.00745239 -1.30133239 -0.09772718]
 [ 0.39168381  0.12630827  0.45620354]
 [ 0.0878832  -0.0567728   0.18109177]
 [ 0.21248506 -0.08513472  0.70193807]
 [-0.29696922  0.16912753 -0.77718579]
 [-1.59484637 -0.08945781  0.12635834]]",29,21.025065857715823
[-1.2788356   0.75979713  0.48106151],-0.30901699437494734,0.9510565162951536,"[[-2.01724862 -1.31403149 -1.55660173]
 [-1.42403391  0.01029873  1.16918005]
 [ 0.47096113 -0.41419972  0.73428938]
 [-0.33834466 -0.76350258 -0.4759883 ]
 [-0.70972571  0.14170263 -1.07128537]
 [-0.77400422  0.52010257 -1.4343132 ]
 [ 0.78593747 -0.46186308 -0.41337752]
 [-0.10033395  0.75217603 -0.3296109 ]
 [ 1.19776851 -0.20912126 -0.31080617]
 [ 0.04002467 -1.07162649  0.31222205]]",19,79.98191962957962
[-1.2788356   0.75979713  0.48106151],-0.8090169943749473,0.5877852522924732,"[[-1.79565437 -0.56340804  0.34904064]
 [-2.17162371 -0.11418739  0.16238883]
 [-0.96595952 -0.22996799  0.27552654]
 [-0.84330601 -0.28136018  0.4166289 ]
 [-1.74526435 -0.12248808  0.7334331 ]
 [-3.73219229  0.08930749 -0.2339242 ]
 [-3.15708462  0.43618794 -0.30658321]
 [ 0.12399555 -0.04239741 -1.02915003]
 [-1.25303111 -0.11813383 -0.90700691]
 [ 0.34526493  0.42131539  0.36028753]]",12,98.2338843575475
[-1.2788356   0.75979713  0.48106151],-1.0,1.2246467991473532e-16,"[[ 1.10459438 -4.01746082 -3.20570554]
 [-3.1431562   1.1213145  -0.41613976]
 [-1.69024663 -1.93902831 -0.27315737]
 [-0.07785889 -1.44459867 -0.07366377]
 [-4.19045593 -1.62299432  0.01738006]
 [-4.91832018  0.43249838 -1.57502406]
 [-1.55357723  0.21764376 -0.44590269]
 [-0.75578429 -2.07819742 -0.09035628]
 [-2.46003332 -0.55410035  0.10171901]
 [-0.34370988 -0.07677065 -0.91966487]]",37,50.14812309966062
