init_joint_angles,x_target,y_target,z_target,Theta,iter_count,cost
[0.         0.52359878 1.57079633 1.57079633],0.3564130843707939,0.0,0.3362584025556794,"[[-1.55004547  1.16540752  3.32343174 -1.19999716]
 [ 1.88504657  0.51893624 -0.74423872  0.77250784]
 [-2.2466752  -1.21486132 -1.87758636  0.18387754]
 [ 0.62937048 -1.16883853 -1.25653436 -0.4420191 ]
 [-1.06738346  0.44706111  0.37377603 -1.35483578]]",93,11.814706054628097
[0.         0.52359878 1.57079633 1.57079633],0.3564130843707939,0.0,0.3362584025556794,"[[-8.98416412  1.72476258  0.72618775 -0.26356286]
 [-0.76999433 -1.72751122 -0.33405243 -0.6518377 ]
 [-1.57942632 -0.23413501  0.89850444  0.11717718]
 [-0.81726727  0.67134173 -0.62679903  0.15424275]
 [-1.91563899  0.22773978  0.64892963 -0.19994861]]",95,11.934657504451929
[0.         0.52359878 1.57079633 1.57079633],0.3503444743118593,0.0654907323966499,0.3362584025556794,"[[-8.33554275  1.54076837  0.01015926  0.69486068]
 [-0.62184523 -1.15707744 -1.22109251 -1.02135822]
 [-1.62474077 -0.04430892  1.64964744  0.53057223]
 [-1.28967161  0.39476087 -0.80765113 -0.08650668]
 [-2.06034804  0.72198741  1.06373939  0.51802259]]",27,29.075547712045164
[0.         0.52359878 1.57079633 1.57079633],0.3323453033721169,0.1287512564490079,0.3362584025556794,"[[-8.53169901  1.27742191 -0.49031985  0.48769543]
 [-0.62502813 -1.08224353 -0.94740737 -0.6061281 ]
 [-1.90036691  0.57532446  1.28208621  0.63980611]
 [-1.33696075  0.49318804 -0.7987967   0.24167615]
 [-2.01457938  0.79766827  1.3714647   0.65827215]]",11,126.1906855922388
[0.         0.52359878 1.57079633 1.57079633],0.3030285117302937,0.1876273108831065,0.3362584025556794,"[[-7.52922924 -0.42947109  0.03397991  2.49341939]
 [-1.71644248 -1.14260502 -0.33014525 -0.25149291]
 [-2.5574768   0.33767475  2.30099212  0.44704296]
 [-0.44419623  1.08191029 -1.38209813  0.90458574]
 [-2.63540738  0.04180354  1.43172046  1.14174176]]",85,292.02445657632
[0.         0.52359878 1.57079633 1.57079633],0.2633924475641358,0.2401139422792367,0.3362584025556794,"[[-9.78843003 -1.26358644  1.01567441  4.64898663]
 [-1.41607126 -1.68341345 -0.24795149 -0.47988417]
 [-2.60702189 -0.64789054  2.17795509 -0.11865815]
 [-0.55213745  0.79295426 -1.56407283  0.83216394]
 [-3.37284224  0.72466078  1.55307129  1.01791952]]",30,498.5394014234397
[0.         0.52359878 1.57079633 1.57079633],0.2147868695006026,0.284423781355979,0.3362584025556794,"[[-15.15025126  -3.40511522   1.68333071   6.1164774 ]
 [ -2.30844959  -1.4595979   -0.96755472   0.77747004]
 [ -1.87884041  -1.3571193    2.46256345  -1.06572433]
 [ -1.69782799   0.54772335  -2.38954424   1.13425642]
 [ -4.04202643   1.19062215   0.90809833   1.33892995]]",61,715.8829764790593
[0.         0.52359878 1.57079633 1.57079633],0.1588669822046823,0.3190479096873694,0.3362584025556794,"[[-19.4106717   -9.92504784  -0.81414656   6.29237142]
 [ -3.59019723   0.13544469   0.93739356   0.2480505 ]
 [ -5.22260567  -1.47656784   4.54946942   0.15066969]
 [ -2.95907922   2.75113834  -2.44218067   2.6246668 ]
 [ -4.22651911   2.03793576   1.46671764   0.65302138]]",143,913.0863949066016
[0.         0.52359878 1.57079633 1.57079633],0.097537070369725,0.342807244110147,0.3362584025556794,"[[-19.46747472 -11.15471042   2.14055393   5.26339126]
 [ -2.94597887  -0.42221391  -0.07774262   1.33592094]
 [ -5.29551344  -1.8234814    3.88992583   0.89221133]
 [ -2.6021232    2.3848168   -2.68056537   2.30210994]
 [ -4.26127045   0.12477986   1.06181008   0.28637541]]",45,1062.340802642413
[0.         0.52359878 1.57079633 1.57079633],0.0328856505861486,0.354892688986725,0.3362584025556794,"[[-20.03395824 -10.33526192   2.80922387   4.05040943]
 [ -2.90390934  -0.1723793    0.79808213   1.5190839 ]
 [ -5.25649058  -1.9855756    4.25141408   0.77906245]
 [ -3.31695973   2.45457152  -1.7110239    2.48001552]
 [ -4.64240769   0.54887117   1.65403214   0.59621587]]",24,1142.8431047776085
[0.         0.52359878 1.57079633 1.57079633],-0.0328856505861486,0.354892688986725,0.3362584025556794,"[[-20.56308884  -9.15194614   4.45980518   3.04110655]
 [ -2.57277406  -0.11973126   1.03475515   1.47472421]
 [ -5.47734298  -1.8750151    4.16736723   0.39080847]
 [ -3.20630026   1.79338804  -0.23274636   0.88886278]
 [ -4.89706631   1.06299745   1.96184019   0.66053652]]",16,1144.7061401235055
[0.         0.52359878 1.57079633 1.57079633],-0.097537070369725,0.342807244110147,0.3362584025556794,"[[-20.62377832  -8.27320685   5.32721592   2.50368583]
 [ -2.43618936  -0.30207546   2.47969848   1.62508204]
 [ -5.34278576  -1.54063716   4.4465454    0.4592176 ]
 [ -2.9263686    2.13451631   0.40295717   0.7098765 ]
 [ -5.05280095   0.87292461   2.1187564    0.51701897]]",14,1085.113098829058
